"MassFeature","compound_experimental","compound_theoretical","mz_experimental","mz_theoretical","rt_sec_experimental","rt_sec_theoretical","column_experimental","column_theoretical","z_experimental","z_theoretical","MS2_experimental","MS2_theoretical","mz_similarity_score1","rt_similarity_score1","ppm_mass_error","MS2_cosine_similarity1","total_similarity_score","confidence_rank","confidence_source"
"I102.0549R12.14",1,NA,102.0549424,NA,728.6243451,NA,"HILIC",NA,-1,NA,"59.01263, 100; 74.99261, 41.1",NA,NA,NA,NA,NA,NA,NA,NA
"Uracil",2,"Uracil",111.019453,111.019453,240,240,"HILIC","HILIC",-1,-1,"110.97466, 100; 110.03485, 39.1","111.01879, 100; 111.04389, 2.4",1,1,0,0,66.6666666666667,1,"Ingalls_Standards"
"Uracil",2,"Uracil",111.019453,111.019453,240,240,"HILIC","HILIC",-1,-1,"110.97466, 100; 110.03485, 39.1","111.01884, 100; 111.05526, 1.9",1,1,0,0,66.6666666666667,1,"Ingalls_Standards"
"Uracil",2,"Uracil",111.019453,111.019453,240,240,"HILIC","HILIC",-1,-1,"110.97466, 100; 110.03485, 39.1","111.01889, 100; 111.04259, 2.1",1,1,0,0,66.6666666666667,1,"Ingalls_Standards"
"Uracil",2,"Uracil",111.019453,111.019453,240,240,"HILIC","HILIC",-1,-1,"110.97466, 100; 110.03485, 39.1","111.01886, 100; 111.04398, 2",1,1,0,0,66.6666666666667,1,"Ingalls_Standards"
"Uracil",2,"Uracil",111.019453,111.019453,240,240,"HILIC","HILIC",-1,-1,"110.97466, 100; 110.03485, 39.1","111.01885, 100; 111.04394, 1.8",1,1,0,0,66.6666666666667,1,"Ingalls_Standards"
"Uracil",2,"Uracil",111.019453,111.019453,240,240,"HILIC","HILIC",-1,-1,"110.97466, 100; 110.03485, 39.1","111.01881, 100; 111.04394, 1.9",1,1,0,0,66.6666666666667,1,"Ingalls_Standards"
"Uracil",2,"Uracil",111.019453,111.019453,240,240,"HILIC","HILIC",-1,-1,"110.97466, 100; 110.03485, 39.1","68.01299, 100; 52.17011, 58.5",1,1,0,0,66.6666666666667,1,"Ingalls_Standards"
"Uracil",2,"Uracil",111.019453,111.019453,240,240,"HILIC","HILIC",-1,-1,"110.97466, 100; 110.03485, 39.1","111.01888, 100; 67.02911, 88.4",1,1,0,0,66.6666666666667,1,"Ingalls_Standards"
"I124.0064R10.88",3,"Taurine",124.006394,124.006841,652.5603017,667.8,"HILIC","HILIC",-1,-1,"124.01125, 100; 123.90107, 58.1","124.00623, 100; 79.95613, 76.5",0.999750269937751,0.878950329142521,3.60463984397515,0.747914948117224,87.5538515732499,1,"Ingalls_Standards"
"I124.0064R10.88",3,"Taurine",124.006394,124.006841,652.5603017,667.8,"HILIC","HILIC",-1,-1,"124.01125, 100; 123.90107, 58.1","124.00632, 100; 79.95616, 72.8",0.999750269937751,0.878950329142521,3.60463984397515,0.750036154868331,87.6245584649535,1,"Ingalls_Standards"
"I124.0064R10.88",3,"Taurine",124.006394,124.006841,652.5603017,667.8,"HILIC","HILIC",-1,-1,"124.01125, 100; 123.90107, 58.1","124.00631, 100; 79.95616, 72.6",0.999750269937751,0.878950329142521,3.60463984397515,0.750151312639522,87.6283970573265,1,"Ingalls_Standards"
