"MassFeature","compound_experimental","compound_theoretical","massbank_match","massbank_ID","mz_experimental","mz_theoretical","mz_massbank","column_experimental","column_theoretical","z_experimental","z_theoretical","z_massbank","MS2_experimental","MS2_theoretical","MS2_massbank","ppm_mass_error","massbank_ppm","mz_similarity_score1","rt_similarity_score1","MS2_cosine_similarity1","massbank_cosine_similarity","total_similarity_score","confidence_rank","confidence_source"
"I102.0549R12.14",1,NA,NA,NA,102.0549424,NA,NA,"HILIC",NA,-1,NA,NA,"59.01263, 100; 74.99261, 41.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Uracil",2,"Uracil",NA,NA,111.019453,111.019453,NA,"HILIC","HILIC",-1,-1,NA,"110.97466, 100; 110.03485, 39.1","111.01879, 100; 111.04389, 2.4",NA,0,NA,1,1,0,NA,66.6666666666667,"1","Ingalls_Standards"
"Uracil",2,"Uracil",NA,NA,111.019453,111.019453,NA,"HILIC","HILIC",-1,-1,NA,"110.97466, 100; 110.03485, 39.1","111.01884, 100; 111.05526, 1.9",NA,0,NA,1,1,0,NA,66.6666666666667,"1","Ingalls_Standards"
"Uracil",2,"Uracil",NA,NA,111.019453,111.019453,NA,"HILIC","HILIC",-1,-1,NA,"110.97466, 100; 110.03485, 39.1","111.01889, 100; 111.04259, 2.1",NA,0,NA,1,1,0,NA,66.6666666666667,"1","Ingalls_Standards"
"Uracil",2,"Uracil",NA,NA,111.019453,111.019453,NA,"HILIC","HILIC",-1,-1,NA,"110.97466, 100; 110.03485, 39.1","111.01886, 100; 111.04398, 2",NA,0,NA,1,1,0,NA,66.6666666666667,"1","Ingalls_Standards"
"Uracil",2,"Uracil",NA,NA,111.019453,111.019453,NA,"HILIC","HILIC",-1,-1,NA,"110.97466, 100; 110.03485, 39.1","111.01885, 100; 111.04394, 1.8",NA,0,NA,1,1,0,NA,66.6666666666667,"1","Ingalls_Standards"
"Uracil",2,"Uracil",NA,NA,111.019453,111.019453,NA,"HILIC","HILIC",-1,-1,NA,"110.97466, 100; 110.03485, 39.1","111.01881, 100; 111.04394, 1.9",NA,0,NA,1,1,0,NA,66.6666666666667,"1","Ingalls_Standards"
"Uracil",2,"Uracil",NA,NA,111.019453,111.019453,NA,"HILIC","HILIC",-1,-1,NA,"110.97466, 100; 110.03485, 39.1","68.01299, 100; 52.17011, 58.5",NA,0,NA,1,1,0,NA,66.6666666666667,"1","Ingalls_Standards"
"Uracil",2,"Uracil",NA,NA,111.019453,111.019453,NA,"HILIC","HILIC",-1,-1,NA,"110.97466, 100; 110.03485, 39.1","111.01888, 100; 67.02911, 88.4",NA,0,NA,1,1,0,NA,66.6666666666667,"1","Ingalls_Standards"
"I124.0064R10.88",3,"Taurine",NA,NA,124.006394,124.006841,NA,"HILIC","HILIC",-1,-1,NA,"124.01125, 100; 123.90107, 58.1","124.00623, 100; 79.95613, 76.5",NA,3.60463984397515,NA,0.999750269937751,0.878950329142521,0.747914948117224,NA,87.5538515732499,"1","Ingalls_Standards"
"I124.0064R10.88",3,"Taurine",NA,NA,124.006394,124.006841,NA,"HILIC","HILIC",-1,-1,NA,"124.01125, 100; 123.90107, 58.1","124.00632, 100; 79.95616, 72.8",NA,3.60463984397515,NA,0.999750269937751,0.878950329142521,0.750036154868331,NA,87.6245584649535,"1","Ingalls_Standards"
"I124.0064R10.88",3,"Taurine",NA,NA,124.006394,124.006841,NA,"HILIC","HILIC",-1,-1,NA,"124.01125, 100; 123.90107, 58.1","124.00631, 100; 79.95616, 72.6",NA,3.60463984397515,NA,0.999750269937751,0.878950329142521,0.750151312639522,NA,87.6283970573265,"1","Ingalls_Standards"
"I124.0064R10.88",3,"Taurine",NA,NA,124.006394,124.006841,NA,"HILIC","HILIC",-1,-1,NA,"124.01125, 100; 123.90107, 58.1","124.0063, 100; 79.95615, 71.4",NA,3.60463984397515,NA,0.999750269937751,0.878950329142521,0.750843463641492,NA,87.6514687573922,"1","Ingalls_Standards"
"I124.0064R10.88",3,"Taurine",NA,NA,124.006394,124.006841,NA,"HILIC","HILIC",-1,-1,NA,"124.01125, 100; 123.90107, 58.1","79.95614, 100; 124.00629, 64.2",NA,3.60463984397515,NA,0.999750269937751,0.878950329142521,0.706398986741385,NA,86.1699861940552,"1","Ingalls_Standards"
"I124.0064R10.88",3,"Taurine",NA,NA,124.006394,124.006841,NA,"HILIC","HILIC",-1,-1,NA,"124.01125, 100; 123.90107, 58.1","79.95613, 100; 124.00628, 62",NA,3.60463984397515,NA,0.999750269937751,0.878950329142521,0.703755553841678,NA,86.081871764065,"1","Ingalls_Standards"
"I124.0064R10.88",3,"Taurine",NA,NA,124.006394,124.006841,NA,"HILIC","HILIC",-1,-1,NA,"124.01125, 100; 123.90107, 58.1","79.95615, 100; 124.0063, 0.7",NA,3.60463984397515,NA,0.999750269937751,0.878950329142521,0.157010606892465,NA,67.8570401990912,"1","Ingalls_Standards"
"I124.0064R10.88",3,"Taurine",NA,NA,124.006394,124.006841,NA,"HILIC","HILIC",-1,-1,NA,"124.01125, 100; 123.90107, 58.1","79.95615, 100; 124.00632, 0.9",NA,3.60463984397515,NA,0.999750269937751,0.878950329142521,0.177051550174849,NA,68.5250716418374,"1","Ingalls_Standards"
"Isethionic Acid",4,"Isethionic Acid","Isethionate; 2-Hydroxyethanesulfonic acid; Isethionic acid; 2-Hydroxyethane-1-sulfonic acid; 2-Hydroxyethanesulfonate ID:KO001232","KO001232",124.990857,124.990857,124.991403072,"HILIC","HILIC",-1,-1,-1,"124.99041, 100; 94.97973, 27.2","124.99026, 100; 94.97963, 44.7","125, 100; 95.1, 44.2; 80.1, 38.2; 106.9, 13.8; 123.1, 2; 89, 0.5",0,4.36887647126517,1,1,0.99711948932637,0.838152426563481,99.9039829775457,"1; 2","Ingalls_Standards; MoNA"
