"primary_key","MassFeature","compound_theoretical","massbank_match2","massbank_match3","mz_experimental","mz_theoretical","mz_massbank2","MH_mass_experimental","MH_mass_MoNA","z_experimental","z_theoretical","z_massbank2","z_massbank3","rt_sec_experimental","rt_sec_theoretical","column_experimental","column_theoretical","MS2_experimental","MS2_theoretical","MS2_massbank","ppm_mass_error1","massbank_ppm","mz_similarity_score1","mz_similarity_score2","mz_similarity_score3","rt_similarity_score1","MS2_cosine_similarity1","MS2_cosine_similarity2","total_similarity_score1","total_similarity_score2","confidence_rank","confidence_source"
1,"I102.0549R12.14",NA,NA,NA,102.0549424,NA,NA,NA,NA,-1,NA,NA,NA,728.6243451,NA,"HILIC",NA,"59.01263, 100; 74.99261, 41.1; 102.0549, 30; 103.02913, 12.2; 101.95898, 11.8; 101.92309, 11.2; 65.99737, 11.1; 88.00545, 7.8; 58.02865, 7.2; 101.05963, 7.1; 76.00549, 6.6; 100.0392, 5.9; 103.01662, 5.2; 101.9741, 5; 99.92451, 2.5; 57.03338, 2; 102.01854, 1.9; 102.98736, 1.9; 102.06315, 1.7; 109.88074, 1.6; 58.99776, 1.5; 73.02839, 1.5; 72.04425, 1.5; 50.46642, 1.3; 100.25814, 1.2; 102.92281, 1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Uracil","Uracil",NA,NA,111.019453,111.019453,NA,NA,NA,-1,-1,NA,NA,240,240,"HILIC","HILIC","110.97466, 100; 110.03485, 39.1; 58.02862, 33.5; 68.01299, 26.6; 111.01888, 20.6; 111.05531, 17.5; 68.02917, 14.8; 67.02898, 14.3; 66.00958, 11.7; 79.95618, 11.6; 68.02421, 11.1; 110.04292, 10.8; 110.07133, 8.9; 82.03986, 7; 111.04124, 6; 110.02378, 3.5; 69.04459, 3.2; 83.02393, 3.1; 68.99699, 3; 95.95114, 3; 65.01331, 3; 81.04467, 2.9; 69.01627, 2.8; 83.03205, 2.8; 69.00823, 2.7; 109.94096, 2.6; 82.02856, 2.4; 112.05061, 2.3; 80.96399, 2.3; 65.99735, 2.2; 112.03928, 2; 84.04417, 1.9; 59.03198, 1.2; 66.03379, 1; 96.03178, 1; 70.02859, 1; 51.00574, 0.9; 111.93635, 0.9; 93.04466, 0.8; 111.07485, 0.8; 112.01435, 0.7; 50.0024, 0.7; 112.00274, 0.6; 102.09911, 0.6; 56.62686, 0.6","111.01879, 100; 111.04389, 2.4; 111.05523, 1.1; 68.01299, 1",NA,0,NA,1,NA,NA,1,0.411405690044961,NA,80.3801896681654,NA,"1","Ingalls_Standards"
2,"Uracil","Uracil",NA,NA,111.019453,111.019453,NA,NA,NA,-1,-1,NA,NA,240,240,"HILIC","HILIC","110.97466, 100; 110.03485, 39.1; 58.02862, 33.5; 68.01299, 26.6; 111.01888, 20.6; 111.05531, 17.5; 68.02917, 14.8; 67.02898, 14.3; 66.00958, 11.7; 79.95618, 11.6; 68.02421, 11.1; 110.04292, 10.8; 110.07133, 8.9; 82.03986, 7; 111.04124, 6; 110.02378, 3.5; 69.04459, 3.2; 83.02393, 3.1; 68.99699, 3; 95.95114, 3; 65.01331, 3; 81.04467, 2.9; 69.01627, 2.8; 83.03205, 2.8; 69.00823, 2.7; 109.94096, 2.6; 82.02856, 2.4; 112.05061, 2.3; 80.96399, 2.3; 65.99735, 2.2; 112.03928, 2; 84.04417, 1.9; 59.03198, 1.2; 66.03379, 1; 96.03178, 1; 70.02859, 1; 51.00574, 0.9; 111.93635, 0.9; 93.04466, 0.8; 111.07485, 0.8; 112.01435, 0.7; 50.0024, 0.7; 112.00274, 0.6; 102.09911, 0.6; 56.62686, 0.6","111.01884, 100; 111.05526, 1.9; 111.0439, 0.9; 67.02892, 0.9; 68.01294, 0.6",NA,0,NA,1,NA,NA,1,0.403716307123873,NA,80.1238769041291,NA,"1","Ingalls_Standards"
2,"Uracil","Uracil",NA,NA,111.019453,111.019453,NA,NA,NA,-1,-1,NA,NA,240,240,"HILIC","HILIC","110.97466, 100; 110.03485, 39.1; 58.02862, 33.5; 68.01299, 26.6; 111.01888, 20.6; 111.05531, 17.5; 68.02917, 14.8; 67.02898, 14.3; 66.00958, 11.7; 79.95618, 11.6; 68.02421, 11.1; 110.04292, 10.8; 110.07133, 8.9; 82.03986, 7; 111.04124, 6; 110.02378, 3.5; 69.04459, 3.2; 83.02393, 3.1; 68.99699, 3; 95.95114, 3; 65.01331, 3; 81.04467, 2.9; 69.01627, 2.8; 83.03205, 2.8; 69.00823, 2.7; 109.94096, 2.6; 82.02856, 2.4; 112.05061, 2.3; 80.96399, 2.3; 65.99735, 2.2; 112.03928, 2; 84.04417, 1.9; 59.03198, 1.2; 66.03379, 1; 96.03178, 1; 70.02859, 1; 51.00574, 0.9; 111.93635, 0.9; 93.04466, 0.8; 111.07485, 0.8; 112.01435, 0.7; 50.0024, 0.7; 112.00274, 0.6; 102.09911, 0.6; 56.62686, 0.6","111.01889, 100; 111.04259, 2.1; 68.01292, 1.2; 111.05526, 0.8; 67.02898, 0.6",NA,0,NA,1,NA,NA,1,0.404349988831362,NA,80.1449996277121,NA,"1","Ingalls_Standards"
2,"Uracil","Uracil",NA,NA,111.019453,111.019453,NA,NA,NA,-1,-1,NA,NA,240,240,"HILIC","HILIC","110.97466, 100; 110.03485, 39.1; 58.02862, 33.5; 68.01299, 26.6; 111.01888, 20.6; 111.05531, 17.5; 68.02917, 14.8; 67.02898, 14.3; 66.00958, 11.7; 79.95618, 11.6; 68.02421, 11.1; 110.04292, 10.8; 110.07133, 8.9; 82.03986, 7; 111.04124, 6; 110.02378, 3.5; 69.04459, 3.2; 83.02393, 3.1; 68.99699, 3; 95.95114, 3; 65.01331, 3; 81.04467, 2.9; 69.01627, 2.8; 83.03205, 2.8; 69.00823, 2.7; 109.94096, 2.6; 82.02856, 2.4; 112.05061, 2.3; 80.96399, 2.3; 65.99735, 2.2; 112.03928, 2; 84.04417, 1.9; 59.03198, 1.2; 66.03379, 1; 96.03178, 1; 70.02859, 1; 51.00574, 0.9; 111.93635, 0.9; 93.04466, 0.8; 111.07485, 0.8; 112.01435, 0.7; 50.0024, 0.7; 112.00274, 0.6; 102.09911, 0.6; 56.62686, 0.6","111.01886, 100; 111.04398, 2; 111.05517, 1.5; 67.02902, 0.6; 58.02867, 0.6",NA,0,NA,1,NA,NA,1,0.407756415638953,NA,80.2585471879651,NA,"1","Ingalls_Standards"
2,"Uracil","Uracil",NA,NA,111.019453,111.019453,NA,NA,NA,-1,-1,NA,NA,240,240,"HILIC","HILIC","110.97466, 100; 110.03485, 39.1; 58.02862, 33.5; 68.01299, 26.6; 111.01888, 20.6; 111.05531, 17.5; 68.02917, 14.8; 67.02898, 14.3; 66.00958, 11.7; 79.95618, 11.6; 68.02421, 11.1; 110.04292, 10.8; 110.07133, 8.9; 82.03986, 7; 111.04124, 6; 110.02378, 3.5; 69.04459, 3.2; 83.02393, 3.1; 68.99699, 3; 95.95114, 3; 65.01331, 3; 81.04467, 2.9; 69.01627, 2.8; 83.03205, 2.8; 69.00823, 2.7; 109.94096, 2.6; 82.02856, 2.4; 112.05061, 2.3; 80.96399, 2.3; 65.99735, 2.2; 112.03928, 2; 84.04417, 1.9; 59.03198, 1.2; 66.03379, 1; 96.03178, 1; 70.02859, 1; 51.00574, 0.9; 111.93635, 0.9; 93.04466, 0.8; 111.07485, 0.8; 112.01435, 0.7; 50.0024, 0.7; 112.00274, 0.6; 102.09911, 0.6; 56.62686, 0.6","111.01885, 100; 111.04394, 1.8; 111.05525, 1.7; 68.01295, 0.7",NA,0,NA,1,NA,NA,1,0.413128127944198,NA,80.4376042648066,NA,"1","Ingalls_Standards"
2,"Uracil","Uracil",NA,NA,111.019453,111.019453,NA,NA,NA,-1,-1,NA,NA,240,240,"HILIC","HILIC","110.97466, 100; 110.03485, 39.1; 58.02862, 33.5; 68.01299, 26.6; 111.01888, 20.6; 111.05531, 17.5; 68.02917, 14.8; 67.02898, 14.3; 66.00958, 11.7; 79.95618, 11.6; 68.02421, 11.1; 110.04292, 10.8; 110.07133, 8.9; 82.03986, 7; 111.04124, 6; 110.02378, 3.5; 69.04459, 3.2; 83.02393, 3.1; 68.99699, 3; 95.95114, 3; 65.01331, 3; 81.04467, 2.9; 69.01627, 2.8; 83.03205, 2.8; 69.00823, 2.7; 109.94096, 2.6; 82.02856, 2.4; 112.05061, 2.3; 80.96399, 2.3; 65.99735, 2.2; 112.03928, 2; 84.04417, 1.9; 59.03198, 1.2; 66.03379, 1; 96.03178, 1; 70.02859, 1; 51.00574, 0.9; 111.93635, 0.9; 93.04466, 0.8; 111.07485, 0.8; 112.01435, 0.7; 50.0024, 0.7; 112.00274, 0.6; 102.09911, 0.6; 56.62686, 0.6","111.01881, 100; 111.04394, 1.9; 111.05516, 1.6; 68.01289, 1.2; 59.69066, 0.8; 100.64673, 0.6; 81.03345, 0.6",NA,0,NA,1,NA,NA,1,0.416579860429056,NA,80.5526620143019,NA,"1","Ingalls_Standards"
2,"Uracil","Uracil",NA,NA,111.019453,111.019453,NA,NA,NA,-1,-1,NA,NA,240,240,"HILIC","HILIC","110.97466, 100; 110.03485, 39.1; 58.02862, 33.5; 68.01299, 26.6; 111.01888, 20.6; 111.05531, 17.5; 68.02917, 14.8; 67.02898, 14.3; 66.00958, 11.7; 79.95618, 11.6; 68.02421, 11.1; 110.04292, 10.8; 110.07133, 8.9; 82.03986, 7; 111.04124, 6; 110.02378, 3.5; 69.04459, 3.2; 83.02393, 3.1; 68.99699, 3; 95.95114, 3; 65.01331, 3; 81.04467, 2.9; 69.01627, 2.8; 83.03205, 2.8; 69.00823, 2.7; 109.94096, 2.6; 82.02856, 2.4; 112.05061, 2.3; 80.96399, 2.3; 65.99735, 2.2; 112.03928, 2; 84.04417, 1.9; 59.03198, 1.2; 66.03379, 1; 96.03178, 1; 70.02859, 1; 51.00574, 0.9; 111.93635, 0.9; 93.04466, 0.8; 111.07485, 0.8; 112.01435, 0.7; 50.0024, 0.7; 112.00274, 0.6; 102.09911, 0.6; 56.62686, 0.6","68.01299, 100; 52.17011, 58.5; 67.02892, 57.3; 111.01894, 41.5; 96.31574, 36.2; 86.62077, 36.2; 94.66899, 35.1; 53.83165, 33.6; 87.08678, 33.3; 108.00101, 33.1; 110.59459, 32.5; 81.75426, 31.2; 76.88327, 31.2; 53.04322, 31.1; 98.74607, 30.9; 84.65017, 30.7; 99.76402, 30.5; 82.41328, 30.3; 50.91338, 30.3; 102.4639, 30.2; 63.25283, 29.9; 100.7858, 29.8; 58.46608, 29.7; 96.87825, 29.6; 106.27834, 29.4; 99.29299, 29.4",NA,0,NA,1,NA,NA,1,0.165644559193699,NA,72.1881519731233,NA,"1","Ingalls_Standards"
2,"Uracil","Uracil",NA,NA,111.019453,111.019453,NA,NA,NA,-1,-1,NA,NA,240,240,"HILIC","HILIC","110.97466, 100; 110.03485, 39.1; 58.02862, 33.5; 68.01299, 26.6; 111.01888, 20.6; 111.05531, 17.5; 68.02917, 14.8; 67.02898, 14.3; 66.00958, 11.7; 79.95618, 11.6; 68.02421, 11.1; 110.04292, 10.8; 110.07133, 8.9; 82.03986, 7; 111.04124, 6; 110.02378, 3.5; 69.04459, 3.2; 83.02393, 3.1; 68.99699, 3; 95.95114, 3; 65.01331, 3; 81.04467, 2.9; 69.01627, 2.8; 83.03205, 2.8; 69.00823, 2.7; 109.94096, 2.6; 82.02856, 2.4; 112.05061, 2.3; 80.96399, 2.3; 65.99735, 2.2; 112.03928, 2; 84.04417, 1.9; 59.03198, 1.2; 66.03379, 1; 96.03178, 1; 70.02859, 1; 51.00574, 0.9; 111.93635, 0.9; 93.04466, 0.8; 111.07485, 0.8; 112.01435, 0.7; 50.0024, 0.7; 112.00274, 0.6; 102.09911, 0.6; 56.62686, 0.6","111.01888, 100; 67.02911, 88.4; 102.75557, 73.4; 83.70768, 69.9; 68.0128, 68.5; 92.64595, 67.9; 98.15079, 67.4; 103.38445, 66.5; 50.62558, 64.5; 111.62521, 63.2; 75.84178, 62.9; 117.44609, 61.5; 108.63023, 60.5; 74.14407, 58.9; 92.85072, 58; 108.22804, 57.3; 84.68909, 56.3; 90.57001, 55.2; 61.8978, 54.8",NA,0,NA,1,NA,NA,1,0.159047396558227,NA,71.9682465519409,NA,"1","Ingalls_Standards"
3,"I124.0064R10.88","Taurine",NA,NA,124.006394,124.006841,NA,NA,NA,-1,-1,NA,NA,652.5603017,667.8,"HILIC","HILIC","124.01125, 100; 123.90107, 58.1; 79.9562, 39.5; 82.03929, 29; 124.0506, 22.9; 82.02868, 14.9; 70.94491, 8.4; 81.04461, 6.4; 66.00853, 3.7; 65.0133, 3.6; 123.0555, 3.2; 123.01891, 2.6; 67.02885, 1.9; 97.03964, 1.7; 106.97971, 1.5; 125.03453, 1.5; 125.00981, 1.4; 123.03858, 1.4; 80.96402, 1; 123.9198, 0.9; 83.0239, 0.8; 58.02859, 0.8","124.00623, 100; 79.95613, 76.5; 106.97973, 2.6; 64.96898, 2; 123.90094, 1.5; 80.96394, 1.4; 82.03985, 1; 124.05043, 0.9; 94.97961, 0.7",NA,3.60463984397515,NA,0.999750269937751,NA,NA,0.878950329142521,0.807842379870602,NA,89.5514326316958,NA,"1","Ingalls_Standards"
