"ID","M_mass","Names","CE","score","spectrum","spectrum_KRHform","spectrum_KRHform_filtered"
"AU101851",253.052112212,"Sulfamethoxazole; 4-amino-N-(5-methyl-1,2-oxazol-3-yl)benzenesulfonamide","10 eV",5,"156.0178:100.000000 252.0506:49.545455","156.0178, 100.000000; 252.0506, 49.545455","156.0178, 100; 252.0506, 49.5"
"AU101852",253.052112212,"Sulfamethoxazole; 4-amino-N-(5-methyl-1,2-oxazol-3-yl)benzenesulfonamide","20 eV",5,"156.0167:100.000000","156.0167, 100.000000","156.0167, 100"
"AU101853",253.052112212,"Sulfamethoxazole; 4-amino-N-(5-methyl-1,2-oxazol-3-yl)benzenesulfonamide","30 eV",5,"156.0161:100.000000","156.0161, 100.000000","156.0161, 100"
"AU106751",357.950116948,"Triclabendazole","10 eV",5,"196.9573:100.000000 197.9616:6.863418 211.9803:7.000686 341.9233:5.216198","196.9573, 100.000000; 197.9616, 6.863418; 211.9803, 7.000686; 341.9233, 5.216198","196.9573, 100; 211.9803, 7; 197.9616, 6.9; 341.9233, 5.2"
"AU106752",357.950116948,"Triclabendazole; 6-chloro-5-(2,3-dichlorophenoxy)-2-methylsulfanyl-1H-benzimidazole","20 eV",5,"165.9943:6.200736 196.9577:100.000000 198.9538:18.812401 211.9809:7.829743 341.9184:4.256437 343.9153:4.519180","165.9943, 6.200736; 196.9577, 100.000000; 198.9538, 18.812401; 211.9809, 7.829743; 341.9184, 4.256437; 343.9153, 4.519180","196.9577, 100; 198.9538, 18.8; 211.9809, 7.8; 165.9943, 6.2; 343.9153, 4.5; 341.9184, 4.3"
"AU106753",357.950116948,"Triclabendazole; 6-chloro-5-(2,3-dichlorophenoxy)-2-methylsulfanyl-1H-benzimidazole","30 eV",5,"165.9939:5.006766 196.9581:100.000000 198.9562:15.493911 211.9813:7.171854 341.9203:5.378890 343.9149:4.127199","165.9939, 5.006766; 196.9581, 100.000000; 198.9562, 15.493911; 211.9813, 7.171854; 341.9203, 5.378890; 343.9149, 4.127199","196.9581, 100; 198.9562, 15.5; 211.9813, 7.2; 341.9203, 5.4; 165.9939, 5; 343.9149, 4.1"
"AU106754",357.950116948,"Triclabendazole; 6-chloro-5-(2,3-dichlorophenoxy)-2-methylsulfanyl-1H-benzimidazole","40 eV",5,"165.9947:3.711871 196.9577:100.000000 198.9548:18.596104 211.9811:6.247703 341.917:4.704153","165.9947, 3.711871; 196.9577, 100.000000; 198.9548, 18.596104; 211.9811, 6.247703; 341.917, 4.704153","196.9577, 100; 198.9548, 18.6; 211.9811, 6.2; 341.917, 4.7; 165.9947, 3.7"
"AU106755",357.950116948,"Triclabendazole; 6-chloro-5-(2,3-dichlorophenoxy)-2-methylsulfanyl-1H-benzimidazole","50 eV",5,"165.9927:3.631498 196.9572:100.000000 197.9609:6.039755 211.982:7.339450 341.9179:4.625382","165.9927, 3.631498; 196.9572, 100.000000; 197.9609, 6.039755; 211.982, 7.339450; 341.9179, 4.625382","196.9572, 100; 211.982, 7.3; 197.9609, 6; 341.9179, 4.6; 165.9927, 3.6"
"AU108451",237.10010796,"Ethopabate; methyl 4-acetamido-2-ethoxybenzoate","10 eV",5,"120.0448:12.827586 132.008:99.034483 133.0157:25.793103 134.0238:86.620690 135.0305:13.793103 160.0026:24.137931 162.0189:38.206897 192.0296:100.000000","120.0448, 12.827586; 132.008, 99.034483; 133.0157, 25.793103; 134.0238, 86.620690; 135.0305, 13.793103; 160.0026, 24.137931; 162.0189, 38.206897; 192.0296, 100.000000","192.0296, 100; 132.008, 99; 134.0238, 86.6; 162.0189, 38.2; 133.0157, 25.8; 160.0026, 24.1; 135.0305, 13.8; 120.0448, 12.8"
"AU108452",237.10010796,"Ethopabate; methyl 4-acetamido-2-ethoxybenzoate","20 eV",5,"132.0071:100.000000 134.0242:67.264574 162.0191:35.650224 192.0295:62.107623","132.0071, 100.000000; 134.0242, 67.264574; 162.0191, 35.650224; 192.0295, 62.107623","132.0071, 100; 134.0242, 67.3; 192.0295, 62.1; 162.0191, 35.7"
