"compound","mz","rt","column","z","file_name","MS2"
"Methionine",150.058876,477.6,"HILIC",1,"201110_Std_4uMStdsMix1InH2O_20pos1","104.05333, 100; 133.03199, 69.3; 56.05029, 43.7; 102.05546, 22.8; 150.05859, 21; 61.01144, 12.5; 87.02692, 4.5; 74.06078, 4.4; 150.1125, 2.2; 74.02427, 2.1; 150.10276, 1.6; 150.12802, 1.6; 150.09163, 1.5; 150.02704, 1.4; 84.04505, 1.1; 85.02907, 1.1; 105.03756, 0.6"
"Methionine",150.058876,477.6,"HILIC",1,"201110_Std_4uMStdsMix1InH2O_20pos2","104.05331, 100; 133.03196, 66.6; 56.05029, 44.6; 102.05546, 21.9; 150.05856, 20.4; 61.01181, 13.5; 87.02694, 4.3; 74.06071, 4.1; 74.02435, 1.8; 150.09164, 1.7; 150.11254, 1.6; 150.12779, 1.4; 150.10262, 1.4; 85.02894, 1.2; 150.02685, 1.1; 84.04496, 1; 105.03724, 0.8; 132.1021, 0.6"
"Methionine",150.058876,477.6,"HILIC",1,"201110_Std_4uMStdsMix1InH2O_35pos1","104.05332, 100; 133.03196, 65.1; 56.0503, 50.2; 102.05546, 22.9; 150.0586, 17.2; 61.01108, 15; 87.0269, 5.4; 74.06071, 4.5; 74.02437, 2.2; 150.11283, 2; 150.10271, 1.5; 150.12783, 1.4; 150.09158, 1.3; 85.02907, 1.3; 150.02687, 1.1; 84.04504, 1.1; 105.03733, 0.9"
"Methionine",150.058876,477.6,"HILIC",1,"201110_Std_4uMStdsMix1InH2O_35pos2","104.05327, 100; 133.0319, 67.3; 56.05026, 49.1; 102.05542, 23.8; 150.06007, 17.3; 61.01141, 15.4; 87.02688, 5; 74.06073, 4.8; 74.02433, 2.1; 150.11256, 1.8; 150.10249, 1.7; 150.12786, 1.3; 150.09149, 1.2; 85.02901, 1.2; 105.03727, 1.1; 150.02691, 1.1; 84.0451, 0.8; 84.04499, 0.6"
"Methionine",150.058876,477.6,"HILIC",1,"201110_Std_4uMStdsMix1InH2O_50pos1","56.05026, 100; 104.05327, 59.2; 61.01141, 57.9; 133.03192, 36.4; 102.05543, 22.1; 87.0269, 15.4; 74.06016, 8.6; 74.02433, 7.4; 85.02904, 3.6; 150.05852, 2.5; 84.04499, 1.8; 105.03736, 1.4; 150.12777, 1.4; 84.04504, 1.3; 150.09164, 1.1; 150.10261, 1; 105.00092, 1; 150.02677, 0.9; 75.02697, 0.8; 88.07616, 0.8; 150.07771, 0.7"
"Methionine",150.058876,477.6,"HILIC",1,"201110_Std_4uMStdsMix1InH2O_50pos2","56.05029, 100; 104.05333, 60.4; 61.01145, 58.9; 133.03196, 37.2; 102.05545, 23.7; 87.02696, 15.9; 74.06136, 9.1; 74.02436, 7.8; 85.0291, 3.6; 84.04515, 2.3; 150.05895, 2; 105.03735, 1.8; 150.1028, 1.3; 150.12781, 1.2; 84.04499, 1.1; 105.00096, 1.1; 132.10199, 1; 150.09144, 0.9; 150.11285, 0.9; 75.02695, 0.8"
"Methionine",150.058876,477.6,"HILIC",1,"201119_Std_4uMStdsMix1InH2O_100pos1","61.01137, 100; 56.05023, 58.2; 74.02431, 6; 87.02686, 4; 58.99572, 1.6; 102.0554, 1.2; 74.06064, 1.1; 66.04258, 1; 65.0393, 1; 72.00347, 0.9; 93.05777, 0.8; 85.01126, 0.6; 84.04493, 0.6"
"Methionine",150.058876,477.6,"HILIC",1,"201119_Std_4uMStdsMix1InH2O_100pos2","61.0114, 100; 56.05025, 58.1; 74.02433, 6.2; 87.02687, 4.4; 58.99573, 1.7; 66.04268, 1.4; 72.00354, 1.3; 102.05536, 1.2; 74.06072, 1.2; 65.03932, 1.1; 84.04498, 0.7; 85.01117, 0.6"
"Alanine",90.055504,678,"HILIC",1,"201110_Std_4uMStdsMix1InH2O_20pos1","72.08152, 100; 90.09258, 78.5; 90.05553, 32.5; 92.27773, 2.8; 70.06583, 2.7; 57.96981, 2.5; 102.23164, 2.5; 58.38361, 2.4; 75.58733, 2.4; 65.66813, 2.3; 95.29, 2.3; 107.60126, 2.2; 104.23149, 2.2; 53.31612, 2.2; 107.01479, 2.2; 52.1347, 2.1; 94.24454, 2; 55.01447, 1.9"
"Alanine",90.055504,678,"HILIC",1,"201110_Std_4uMStdsMix1InH2O_20pos2","72.08149, 100; 90.09193, 71.8; 90.05542, 22.3; 58.11072, 6.8; 99.08944, 4.4; 72.75345, 4; 82.23413, 3.8; 57.43265, 3.6; 61.87808, 3.6; 93.88135, 3.6; 61.71829, 3.6; 79.36958, 3.6; 80.54944, 3.6; 95.28888, 3.5; 58.08963, 3.5; 55.53335, 3.4; 79.26928, 3.4; 89.95172, 3.4; 78.15512, 3.3; 57.41211, 3.3; 75.07971, 3.3; 86.73483, 3.3; 108.39417, 3.3; 50.61775, 3.1; 67.19811, 3.1"
"Alanine",90.055504,678,"HILIC",1,"201110_Std_4uMStdsMix1InH2O_35pos1","72.08149, 100; 90.09197, 66.2; 90.0555, 25; 78.11042, 4.8; 57.22225, 4.8; 98.96274, 4.7; 101.98791, 4.6; 108.5487, 4.4; 76.6466, 4.3; 97.63641, 4.2; 83.76468, 4.2; 100.60801, 4.2; 59.54875, 4.2; 60.72431, 4.1; 55.25862, 4.1; 87.34028, 4.1; 72.62318, 4; 95.33008, 4; 50.79706, 4; 67.71074, 3.9; 60.30586, 3.8; 74.74916, 3.7"
"Alanine",90.055504,678,"HILIC",1,"201110_Std_4uMStdsMix1InH2O_35pos2","72.08148, 100; 90.09192, 69.6; 90.05547, 41.9; 70.06583, 4.3; 64.24184, 4; 91.59309, 3.7; 95.16391, 3.7; 73.01523, 3.6; 101.66682, 3.6; 54.5115, 3.5; 54.99436, 3.4; 103.51251, 3.4; 76.80671, 3.3; 88.03713, 3.3; 101.83775, 3.3; 55.90393, 3.2; 76.15268, 3.2; 79.44264, 3.2; 92.76691, 3.1; 51.0681, 3.1; 51.98034, 3; 58.89877, 2.9; 70.66093, 2.9; 55.71061, 2.7"
"Alanine",90.055504,678,"HILIC",1,"201110_Std_4uMStdsMix1InH2O_50pos1","72.08149, 100; 90.09194, 65.9; 90.05557, 43.9; 55.30092, 5.4; 104.21601, 3.5; 56.9607, 3; 51.82663, 3; 70.56771, 2.9; 94.03969, 2.9; 84.97107, 2.9; 107.86064, 2.9; 67.5863, 2.8; 103.57545, 2.7; 72.83266, 2.7; 56.4045, 2.7; 106.69818, 2.7; 79.67126, 2.7; 65.56451, 2.6; 58.50043, 2.5; 68.88657, 2.5"
"Alanine",90.055504,678,"HILIC",1,"201110_Std_4uMStdsMix1InH2O_50pos2","72.08152, 100; 90.09195, 59.2; 90.05559, 21.3; 67.39382, 5.4; 70.06581, 5; 71.56969, 4.6; 57.18619, 4.6; 63.95399, 4.3; 54.12417, 4.2; 67.94019, 4.2; 52.86719, 4; 108.12149, 3.9"
